02-02-2020 22:26:41.305 [main] [sytac.io] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
02-02-2020 22:26:41.636 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 0 (http)
02-02-2020 22:26:41.649 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:26:41.650 [main] [sytac.io] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
02-02-2020 22:26:41.654 [main] [sytac.io] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.30]
02-02-2020 22:26:41.758 [main] [sytac.io] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
02-02-2020 22:26:41.758 [main] [sytac.io] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2399 ms
02-02-2020 22:26:41.916 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
02-02-2020 22:26:42.159 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
02-02-2020 22:26:42.301 [main] [sytac.io] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
02-02-2020 22:26:42.377 [main] [sytac.io] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.10.Final}
02-02-2020 22:26:42.513 [main] [sytac.io] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
02-02-2020 22:26:42.661 [main] [sytac.io] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
02-02-2020 22:26:43.422 [main] [sytac.io] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
02-02-2020 22:26:43.433 [main] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:26:43.971 [main] [sytac.io] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02-02-2020 22:26:44.221 [main] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
02-02-2020 22:26:44.822 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:26:44.855 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 36357 (http) with context path ''
02-02-2020 22:26:44.857 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarted - Started TwitterControllerTest in 6.422 seconds (JVM running for 7.771)
02-02-2020 22:30:45.742 [SpringContextShutdownHook] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
02-02-2020 22:30:45.743 [SpringContextShutdownHook] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:30:45.745 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
02-02-2020 22:30:45.752 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
02-02-2020 22:35:05.067 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarting - Starting TwitterControllerTest on mehdi-System-Product-Name with PID 12116 (started by mehdi in /home/mehdi/developement/Java_Assignment)
02-02-2020 22:35:05.082 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStartupProfileInfo - No active profile set, falling back to default profiles: default
02-02-2020 22:35:05.254 [background-preinit] [sytac.io] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
02-02-2020 22:35:06.095 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02-02-2020 22:35:06.227 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 121ms. Found 1 JPA repository interfaces.
02-02-2020 22:35:06.647 [main] [sytac.io] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
02-02-2020 22:35:06.980 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 0 (http)
02-02-2020 22:35:06.994 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:35:06.995 [main] [sytac.io] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
02-02-2020 22:35:06.995 [main] [sytac.io] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.30]
02-02-2020 22:35:07.093 [main] [sytac.io] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
02-02-2020 22:35:07.093 [main] [sytac.io] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1973 ms
02-02-2020 22:35:07.252 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
02-02-2020 22:35:07.465 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
02-02-2020 22:35:07.617 [main] [sytac.io] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
02-02-2020 22:35:07.721 [main] [sytac.io] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.10.Final}
02-02-2020 22:35:07.875 [main] [sytac.io] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
02-02-2020 22:35:08.056 [main] [sytac.io] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
02-02-2020 22:35:08.952 [main] [sytac.io] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
02-02-2020 22:35:08.963 [main] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:35:09.611 [main] [sytac.io] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02-02-2020 22:35:09.889 [main] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
02-02-2020 22:35:10.507 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:35:10.558 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 42247 (http) with context path ''
02-02-2020 22:35:10.561 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarted - Started TwitterControllerTest in 6.552 seconds (JVM running for 7.878)
02-02-2020 22:37:23.952 [SpringContextShutdownHook] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
02-02-2020 22:37:23.955 [SpringContextShutdownHook] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:37:23.959 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
02-02-2020 22:37:23.972 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
02-02-2020 22:37:28.905 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarting - Starting TwitterControllerTest on mehdi-System-Product-Name with PID 12234 (started by mehdi in /home/mehdi/developement/Java_Assignment)
02-02-2020 22:37:28.909 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStartupProfileInfo - No active profile set, falling back to default profiles: default
02-02-2020 22:37:29.086 [background-preinit] [sytac.io] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
02-02-2020 22:37:29.980 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02-02-2020 22:37:30.046 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 56ms. Found 1 JPA repository interfaces.
02-02-2020 22:37:30.462 [main] [sytac.io] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
02-02-2020 22:37:30.808 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 0 (http)
02-02-2020 22:37:30.823 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:37:30.824 [main] [sytac.io] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
02-02-2020 22:37:30.825 [main] [sytac.io] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.30]
02-02-2020 22:37:30.938 [main] [sytac.io] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
02-02-2020 22:37:30.939 [main] [sytac.io] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2004 ms
02-02-2020 22:37:31.085 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
02-02-2020 22:37:31.293 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
02-02-2020 22:37:31.463 [main] [sytac.io] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
02-02-2020 22:37:31.543 [main] [sytac.io] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.10.Final}
02-02-2020 22:37:31.687 [main] [sytac.io] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
02-02-2020 22:37:31.845 [main] [sytac.io] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
02-02-2020 22:37:32.522 [main] [sytac.io] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
02-02-2020 22:37:32.531 [main] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:37:33.101 [main] [sytac.io] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02-02-2020 22:37:33.352 [main] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
02-02-2020 22:37:34.002 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:37:34.036 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 35223 (http) with context path ''
02-02-2020 22:37:34.039 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarted - Started TwitterControllerTest in 6.074 seconds (JVM running for 7.751)
02-02-2020 22:56:15.337 [SpringContextShutdownHook] [sytac.io] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
02-02-2020 22:56:15.338 [SpringContextShutdownHook] [sytac.io] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
02-02-2020 22:56:15.341 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
02-02-2020 22:56:15.351 [SpringContextShutdownHook] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
02-02-2020 22:56:32.401 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStarting - Starting TwitterControllerTest on mehdi-System-Product-Name with PID 12719 (started by mehdi in /home/mehdi/developement/Java_Assignment)
02-02-2020 22:56:32.405 [main] [sytac.io] INFO  o.i.t.rest.TwitterControllerTest.logStartupProfileInfo - No active profile set, falling back to default profiles: default
02-02-2020 22:56:32.570 [background-preinit] [sytac.io] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder.warn - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
02-02-2020 22:56:33.549 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02-02-2020 22:56:33.618 [main] [sytac.io] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 58ms. Found 1 JPA repository interfaces.
02-02-2020 22:56:34.004 [main] [sytac.io] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
02-02-2020 22:56:34.347 [main] [sytac.io] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 0 (http)
02-02-2020 22:56:34.359 [main] [sytac.io] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-auto-1"]
02-02-2020 22:56:34.360 [main] [sytac.io] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
02-02-2020 22:56:34.361 [main] [sytac.io] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.30]
02-02-2020 22:56:34.465 [main] [sytac.io] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
02-02-2020 22:56:34.466 [main] [sytac.io] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2037 ms
02-02-2020 22:56:34.612 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
02-02-2020 22:56:34.833 [main] [sytac.io] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
02-02-2020 22:56:35.023 [main] [sytac.io] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
02-02-2020 22:56:35.097 [main] [sytac.io] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.10.Final}
02-02-2020 22:56:35.234 [main] [sytac.io] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
02-02-2020 22:56:35.387 [main] [sytac.io] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
02-02-2020 22:56:36.163 [main] [sytac.io] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
